2017-01-08 15:36:04,894 >>> u'a'
2017-01-08 15:36:05,019 >>> u's'
2017-01-08 15:36:05,065 >>> u'd'
2017-01-08 15:36:05,200 >>> u's'
2017-01-08 15:36:05,207 >>> u'a'
2017-01-08 15:36:05,286 >>> u'd'
2017-01-08 15:36:05,385 >>> u'a'
2017-01-08 15:36:05,390 >>> u's'
2017-01-08 15:36:05,473 >>> u'd'
2017-01-08 15:36:05,576 >>> u'a'
2017-01-08 15:36:05,657 >>> u's'
2017-01-08 15:36:05,678 >>> u'd'
2017-01-08 15:36:05,779 >>> u'a'
2017-01-08 15:36:05,786 >>> u's'
2017-01-08 15:36:05,875 >>> u'd'
2017-01-08 15:36:05,957 >>> u'a'
2017-01-08 15:36:05,967 >>> u's'
2017-01-08 15:36:06,053 >>> u'd'
2017-01-08 15:36:06,154 >>> u'a'
2017-01-08 15:36:06,158 >>> u's'
2017-01-08 15:36:06,240 >>> u'd'
2017-01-08 15:36:06,325 >>> u'a'
2017-01-08 15:36:06,335 >>> u's'
2017-01-08 15:36:06,413 >>> u'd'
2017-01-08 15:36:06,496 >>> u'a'
2017-01-08 15:36:06,506 >>> u's'
2017-01-08 15:36:06,650 >>> u'f'
2017-01-08 15:36:06,752 >>> u'a'
2017-01-08 15:36:06,756 >>> u's'
2017-01-08 15:36:06,845 >>> u'f'
2017-01-08 15:36:06,928 >>> u'a'
2017-01-08 15:36:06,937 >>> u's'
2017-01-08 15:36:07,028 >>> u'f'
2017-01-08 15:36:07,107 >>> u'a'
2017-01-08 15:36:07,177 >>> u'f'
2017-01-08 15:36:07,269 >>> u'a'
2017-01-08 15:36:07,293 >>> u's'
2017-01-08 15:36:07,358 >>> u'f'
2017-01-08 15:36:07,440 >>> u'a'
2017-01-08 15:36:07,529 >>> u'f'
2017-01-08 15:36:07,605 >>> u'a'
2017-01-08 15:36:07,614 >>> u's'
2017-01-08 15:36:07,697 >>> u'f'
2017-01-08 15:36:07,766 >>> u'a'
2017-01-08 15:36:07,851 >>> u'f'
2017-01-08 15:36:07,944 >>> u'a'
2017-01-08 15:36:51,265 >>> u'k'
2017-01-08 15:36:51,582 >>> u'e'
2017-01-08 15:36:51,690 >>> u'y'
2017-01-08 15:36:52,213 >>> u'l'
2017-01-08 15:36:52,440 >>> u'o'
2017-01-08 15:36:52,592 >>> u'g'
2017-01-08 15:36:52,717 >>> u'g'
2017-01-08 15:36:52,842 >>> u'e'
2017-01-08 15:36:52,996 >>> u'r'
2017-01-08 15:36:54,072 >>> Key.shift
2017-01-08 15:36:54,262 >>> u'_'
2017-01-08 15:36:54,890 >>> u'b'
2017-01-08 15:36:55,009 >>> u'y'
2017-01-08 15:36:55,121 >>> Key.shift
2017-01-08 15:36:55,236 >>> u'_'
2017-01-08 15:36:56,118 >>> u'm'
2017-01-08 15:36:56,207 >>> u'i'
2017-01-08 15:36:56,322 >>> u's'
2017-01-08 15:36:56,447 >>> u'h'
2017-01-08 15:36:56,608 >>> u'o'
2017-01-08 15:37:00,459 >>> Key.shift
2017-01-08 15:37:00,973 >>> Key.shift
2017-01-08 15:37:01,006 >>> Key.shift
2017-01-08 15:37:01,013 >>> u'_'
2017-01-08 15:37:01,828 >>> u'p'
2017-01-08 15:37:02,130 >>> u'y'
2017-01-08 15:37:02,313 >>> u't'
2017-01-08 15:37:02,348 >>> u'h'
2017-01-08 15:37:02,459 >>> u'o'
2017-01-08 15:37:02,575 >>> u'n'
2017-01-08 15:37:03,996 >>> u'2'
2017-01-08 15:37:05,075 >>> u'.'
2017-01-08 15:37:05,191 >>> u'7'
2017-01-08 15:37:05,352 >>> u'.'
2017-01-08 15:37:05,592 >>> u'1'
2017-01-08 15:37:05,759 >>> u'1'
2017-01-08 15:37:05,904 >>> u'1'
2017-01-08 15:37:06,058 >>> Key.enter
2017-01-08 15:37:45,776 >>> u'g'
2017-01-08 15:37:46,194 >>> u'm'
2017-01-08 15:37:46,950 >>> Key.enter
2017-01-08 15:38:47,571 >>> Key.shift
2017-01-08 15:38:47,657 >>> u':'
2017-01-08 15:38:47,746 >>> u'D'
2017-01-08 15:38:47,806 >>> Key.enter
